season,episode,title,scene,speaker,line,
1,1,Pilot,10,Michael,"Why isn't it in my hand? A company runs on efficiency of communication, right? So what's the problem, Pam? Why didn't I get it?",
1,1,Pilot,10,Pam,You put in the garbage can that was a special filing cabinet.,
1,1,Pilot,10,Michael,"Yeah, that was a joke. That was a joke that was actually my brother's, and... It was supposed to be with bills and it doesn't work great with faxes.",
1,1,Pilot,10,Jan,Do you want to look at mine?,
1,1,Pilot,10,Michael,"Yeah, yeah. Lovely. Thank you.",
1,1,Pilot,10,Jan,"OK. Since the last meeting, Ellen and the board have decided we can't justify a Scranton branch and a Stamford branch.",
1,1,Pilot,10,Michael,OK...,
1,1,Pilot,10,Jan,"Michael, don't panic.",
1,1,Pilot,10,Michael,"No, no, no, no, this is good. This is good. This is fine. Excellent.",
1,1,Pilot,10,Jan,"No, no, no, Michael, listen OK. Don't panic. We haven't made... We haven't decided.",
1,1,Pilot,10,Michael,All the alarm bells are kind of going... ringie-dingie-ding!,
1,1,Pilot,10,Jan,I've spoken to Josh in Stamford. I've told him the same as you and it's up to either him or you to convince me that your branch can incorporate the other.,
1,1,Pilot,10,Michael,OK. No problem.,
1,1,Pilot,10,Jan,"This does, however, mean that there is going to be downsizing.",
1,1,Pilot,10,Michael,"Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn't wish that on Josh's men. I certainly wouldn't wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?",
1,1,Pilot,11,Michael,"Question. How long do we have to...  Oh uh, Todd Packer, terrific rep. Do you mind if I take it?",
1,1,Pilot,11,Jan,Go ahead.,
1,1,Pilot,11,Michel,Packman.,
1,1,Pilot,11,Todd Packer,"Hey, you big queen.",
1,1,Pilot,11,Michael,"Oh, that's not appropriate.",
1,1,Pilot,11,Todd Packer,"Hey, is old Godzillary coming in today?",
1,1,Pilot,11,Michael,"Uh, I don't know what you mean.",
1,1,Pilot,11,Todd Packer,I've been meaning to ask her one question. Does the carpet match the drapes?,
1,1,Pilot,11,Michael,"Oh, my God! Oh! That's... horrifying. Horrible. Horrible person.",
1,1,Pilot,11,Jan,So do you think we could keep a lid on this for now? I don't want to worry people unnecessarily.,
1,1,Pilot,11,Michael,"No, absolutely. Under this regime, it will not leave this office.  Like that.",
1,1,Pilot,12,Phyllis,So what does downsizing actually mean?,
1,1,Pilot,12,Stanley,Well...,
1,1,Pilot,13,Oscar,You guys better update your resumes just like I'm doing.,
1,1,Pilot,14,Angela,I bet it's gonna be me. Probably gonna be me.,
1,1,Pilot,14,Kevin,"Yeah, it'll be you.",
1,1,Pilot,15,Pam,I have an important question for you.,
1,1,Pilot,15,Jim,Yes?,
1,1,Pilot,15,Pam,Are you going to Angela's cat party on Sunday?,
1,1,Pilot,15,Jim,"Yeah, stop. That is ridiculous.",
1,1,Pilot,16,Michael,"Am I going to tell them? No, I am not going to tell them. I don't see the point of that. As a doctor, you would not tell a patient if they had cancer.",
1,1,Pilot,17,Michael,Hey.,
1,1,Pilot,17,Ryan,Hey.,
1,1,Pilot,17,Pam,This is Mr. Scott.,
1,1,Pilot,17,Michael,Guilty! Guilty as charged!,
1,1,Pilot,17,Ryan,Ryan Howard from the temp agency. Daniqua sent me down to start today.,
1,1,Pilot,17,Michael,"Howard, like Moe Howard. Three Stooges.",
1,1,Pilot,17,Ryan,Yup.,
1,1,Pilot,17,Michael,"Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee!  Ah, right here. Three Stooges. Oh, Pam. It's a guy thing, Pam. I'm sort of a student of comedy. Watch this. Here we go.  I'm Hitler. Adolf Hitler. ",
1,1,Pilot,18,Pam,"I don't think it would be the worst thing if they let me go because then I might... I don't think it's many little girls' dream to be a receptionist. I like to do illustrations. Um... Mostly watercolor. A few oil pencil. Um, Jim thinks they're good.",
1,1,Pilot,18,Pam,Dunder Mifflin. This is Pam.,
1,1,Pilot,19,Jim,"Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?",
1,1,Pilot,19,Dwight,What?,
1,1,Pilot,19,Jim,What are you doing?,
1,1,Pilot,19,Dwight,Just clearing my desk. I can't concentrate.,
1,1,Pilot,19,Jim,It's not on your desk.,
1,1,Pilot,19,Dwight,"It's overlapping. It's all spilling over the edge. One word, two syllables. Demarcation.",
1,1,Pilot,19,Dwight,You can't do that.,
1,1,Pilot,19,Jim,Why not?,
1,1,Pilot,19,Dwight,Safety violation. I could fall and pierce an organ.,
1,1,Pilot,19,Jim, We'll see.  This is why the whole downsizing thing just doesn't bother me.,
1,1,Pilot,19,Dwight,Downsizing?,
1,1,Pilot,20,Dwight,"Downsizing? I have no problem with that. I have been recommending downsizing since I first got here. I even brought it up in my interview. I say, bring it on.",
1,1,Pilot,21,Pam,You just still have these messages from yesterday.,
1,1,Pilot,21,Michael,"Relax. Everything's under control. Uh, yeah. Yeah. That's important. Right. Oh this is so important, I should run to answer it. ",
1,1,Pilot,21,Pam,What?,
1,1,Pilot,21,Michael,"Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don't you think? Six million dollars? Memo to Jan. I deserve a raise.",
1,1,Pilot,21,Pam,Don't we all?,
1,1,Pilot,21,Michael,I'm sorry?,
1,1,Pilot,21,Pam,Nothing.,
1,1,Pilot,21,Michael,"If you're unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional. ",
1,1,Pilot,22,Michael,"I think I'm a role model here. I think I garner people's respect.  Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.",
1,1,Pilot,23,Michael,"People I respect, heroes of mine, would be Bob Hope... Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it's really beyond words. It's really incalculable.",
1,1,Pilot,24,Michael,Now I know there's some rumors out there and I just kind of want to set the record straight.,
1,1,Pilot,24,Dwight,I'm Assistant Regional Manager. I should know first.,
1,1,Pilot,24,Michael,Assistant to the Regional Manager.,
1,1,Pilot,24,Dwight,"OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?",
1,1,Pilot,24,Michael,I'm about to tell everybody. I'm just about to tell everybody.,
1,1,Pilot,24,Oscar,Can't you just tell us.,
1,1,Pilot,24,Dwight,"Please, OK? Do you want me to tell 'em?",
1,1,Pilot,24,Michael,You don't know what it is. ,
1,1,Pilot,24,Dwight,OK. You tell 'em. With my permission. Permission granted.,
1,1,Pilot,24,Michael,I don't need your permission.,
1,1,Pilot,24,Dwight,Go ahead.,
1,1,Pilot,24,Michael,Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.,
1,1,Pilot,25,Ryan,I heard they might be closing this branch down. That's just the rumor going around. This is my first day. I don't really know.,
1,1,Pilot,26,Oscar,"Yeah but Michael, what if they downsize here?",
1,1,Pilot,26,Michael,Not gonna happen.,
1,1,Pilot,26,Stanley,It could be out of your hands Michael.,
1,1,Pilot,26,Michael,"It won't be out of my hands Stanley, OK. I promise you that.",
1,1,Pilot,26,Stanley,Can you promise that?,
1,1,Pilot,26,Dwight,On his mother's grave.,
1,1,Pilot,26,Michael,No.,
1,1,Pilot,26,Phyllis,What?,
1,1,Pilot,26,Michael,"Well, yeah, it is a promise. And frankly, I'm a little insulted that you have to keep asking about it.",
1,1,Pilot,26,Stanley,It's just that we need to know.,
1,1,Pilot,26,Michael,"I know. Hold on a second. I think Pam wanted to say something. Pam, you had a look that you wanted to ask a question just then.",
1,1,Pilot,26,Pam,I was in the meeting with Jan and she did say that it could be this branch that gets the axe.,
1,1,Pilot,26,Man,Are you sure about that?,
1,1,Pilot,26,Michael,"Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings.",
1,1,Pilot,26,Dwight,"Pam, information is power.",
1,1,Pilot,26,Stanley,"You can't say for sure whether it'll be us or them, can you?",
1,1,Pilot,26,Michael,"No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they're gonna have to go through me. Right? You can go mess with Josh's people, but I'm the head of this family, and you ain't gonna be messing with my chillin.",
1,1,Pilot,27,Jim,"If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam's favorite flavor of yogurt, which is mixed berry.",
1,1,Pilot,28,Pam,"Jim said mixed berries? Well, yeah, he's on to me. Um... ",
1,1,Pilot,29,Michael,"Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp.",
1,1,Pilot,29,Ryan,What's up? Nice to meet you.,
1,1,Pilot,29,Michael,Introduce yourself. Be polite.,
1,1,Pilot,29,Dwight,"Dwight Schrute, Assistant Regional Manager.",
1,1,Pilot,29,Michael,"Assistant to the Regional Manager. So, uh, Dwight tell him about the kung fu and the car and everything.",
1,1,Pilot,29,Dwight,"Uh... yeah I got a '78 280Z. Bought it for $1,200. Fixed it up. It's now worth three grand.",
1,1,Pilot,29,Michael,That's his profit.,
1,1,Pilot,29,Dwight,"New engine, new suspension, I got a respray. I've got some photos.",
1,1,Pilot,30,Dwight,Damn it! Jim!,
1,1,Pilot,30,Michael,"OK. Hold on, hold on. The judge is in session. What is the problem here?",
1,1,Pilot,30,Dwight,He put my stuff in Jell-O again.,
1,1,Pilot,30,Dwight,That's real professional thanks. That's the third time and it wasn't funny the first two times either Jim.,
1,1,Pilot,31,Dwight,"It's OK here, but people sometimes take advantage because it's so relaxed. I'm a volunteer Sheriff's Deputy on the weekends. And you cannot screw around there. That's sort of one of the rules.",
1,1,Pilot,32,Michael,What is that?,
1,1,Pilot,32,Dwight,That is my stapler.,
1,1,Pilot,32,Michael,"No, no, no. Do not take it out. You have to eat it out of there, because there are starving people in the world  which I hate, and it is a waste of that kind of food.",
1,1,Pilot,32,Dwight,"OK you know what, you can be a witness.  Can you reprimand him?",
1,1,Pilot,32,Jim,How do you know it was me?,
1,1,Pilot,32,Dwight,It's always you. Are you going to discipline him or not?,
1,1,Pilot,32,Michael,"Discipline. Kinky!  All right, here's the deal you guys. The thing about a practical joke is you have to know when to start and as well as when to stop.",
1,1,Pilot,32,Dwight,Yeah.,
1,1,Pilot,32,Michael,"And yeah, Jim this is the time to stop putting Dwight's personal effects into Jell-O.",
1,1,Pilot,32,Jim,"OK. Dwight, I'm sorry, because I have always been your biggest flan.",
1,1,Pilot,32,Michael, Nice. That's the way it is around here. It just kind of goes round and round.,
1,1,Pilot,32,Ryan,You should've put him in custardy.,
1,1,Pilot,32,Michael,Hey! Yes! New guy! He scores.,
1,1,Pilot,32,Dwight,"OK, that's great. I guess what I'm most concerned with is damage to company property. That's all.",
1,1,Pilot,32,Michael,Pudding. Pudding... I'm trying to think of another dessert to do.,
1,1,Pilot,33,Jim,Do you like going out at the end of the week for a drink?,
1,1,Pilot,33,Pam,Yeah.,
1,1,Pilot,33,Jim,That's why we're all going out. So we can have an end-of-the-week-drink.,
1,1,Pilot,33,Pam,So when are we going out?,
1,1,Pilot,33,Jim,"Tonight, hopefully.",
1,1,Pilot,33,Pam,OK. Yeah.,
1,1,Pilot,33,Roy,"Hey, man.",
1,1,Pilot,33,Jim,What's going on?,
1,1,Pilot,33,Roy,"Hey, baby.",
1,1,Pilot,33,Pam,Hey.,
1,1,Pilot,34,Pam,Roy's my fiance. We've been engaged about three years. We were supposed to get married in September but I think we're gonna get married in the spring.,
1,1,Pilot,35,Pam,Do you mind if I go out for a drink with these guys?,
1,1,Pilot,35,Roy,"No, no. Come on. Let's get out of here and go home.",
1,1,Pilot,35,Pam,OK. I'm gonna be a few minutes. So it's only twenty past five. I still have to do my faxes.,
1,1,Pilot,35,Jim,You know what? You should come with us. Because you know we're all going out and it could be a good chance for you to see what people are like outside the office. I think it could be fun.,
1,1,Pilot,35,Roy,"It sounds good. Seriously, we've gotta get going.",
1,1,Pilot,35,Jim,"Yeah, yeah.",
1,1,Pilot,35,Jim,Um... What's in the bag?,
1,1,Pilot,35,Roy,Just tell her I'll talk to her later.,
1,1,Pilot,35,Jim,"No, definitely. All right, dude. Awesome. Will do.",
1,1,Pilot,36,Jim,Do I think I'll be invited to the wedding? ,
1,1,Pilot,37,Michael,"So have you felt the vibe yet? We work hard, we play hard. Sometimes we play hard when we should be working hard. Right? I guess the atmosphere that I've created here is that I'm a friend first, and a boss second... and probably an entertainer third.  Just a second. Right? Oh, hey do you like The Jamie Kennedy Experiment? Punk'd and all that kind of stuff?",
1,1,Pilot,37,Ryan,Yeah.,
1,1,Pilot,37,Michael,"You are gonna be my accomplice. Just go along with it, OK?",
1,1,Pilot,37,Ryan,All right.,
1,1,Pilot,37,Michael,"Just follow my lead. Don't pimp me, all right? Come in. So, uh, Corporate just said that I don't want to...",
1,1,Pilot,37,Pam,You got a fax.,
1,1,Pilot,37,Michael,"Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first.",
1,1,Pilot,37,Pam,What? Why?,
1,1,Pilot,37,Michael,"Why? Well, theft and stealing.",
1,1,Pilot,37,Pam,Stealing? What am I supposed to have stolen?,
1,1,Pilot,37,Michael,Post-it Notes.,
1,1,Pilot,37,Pam,"Post-it Notes? What are those worth, 50 cents?",
1,1,Pilot,37,Michael,"50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know, you've made a profit... margin. You're gonna run us out of business, Pam.",
1,1,Pilot,37,Pam,Are you serious?,
1,1,Pilot,37,Michael,Yeah. I am.,
1,1,Pilot,37,Pam,I can't believe this. I mean I have never even stolen as much as a paperclip and you're firing me.,
1,1,Pilot,37,Michael,But the best thing about it is that we're not going to have to give you any severance pay. Because that is gross misconduct and... Just clean out your desk. I'm sorry.,
1,1,Pilot,37,Michael," You been X'd punk!  Surprise! It's a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you... God, we totally got you.",
1,1,Pilot,37,Pam,You're a jerk.,
1,1,Pilot,37,Michael,I don't know about that.,
1,1,Pilot,38,Michael,"What is the most important thing for a company? Is it the cash flow? Is it the inventory? Nuh-uh. It's the people. The people. My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee. No, no, no, no, no. It was a young Guatemalan guy. First job in the country, barely spoke English. He came to me, and said, ""Mr. Scott, would you be the godfather of my child?"" Wow. Wow. Didn't work out in the end. We had to let him go. He sucked.",
1,1,Pilot,39,Pam,Hey.,
1,1,Pilot,39,Jim,Hey.,
1,1,Pilot,39,Jim,How are things?,
1,1,Pilot,39,Pam,Good. I thought you were going out for a drink with...,
1,1,Pilot,39,Jim,"Oh no, I just decided not to. How's your headache?",
1,1,Pilot,39,Pam,"It's better, thanks.",
1,1,Pilot,39,Jim,Good. Good.,
1,1,Pilot,39,Pam,Yeah.,
1,1,Pilot,39,Jim,That's great,
1,1,Pilot,39,Pam,Is...?,
1,1,Pilot,39,Jim,Yeah?,
1,1,Pilot,39,Pam,Um... Are you...,
1,1,Pilot,39,Jim,Am I walking out?,
1,1,Pilot,39,Pam,Yes.,
1,1,Pilot,39,Jim,"Yes, I... Do you want to...",
1,1,Pilot,39,Pam,Yeah.,
1,1,Pilot,39,Jim,Great. Let me just...,
1,1,Pilot,39,Jim," Oh, Roy.",
1,1,Pilot,39,Pam,"Yeah. Listen, have a nice weekend.",
1,1,Pilot,39,Jim,"Yeah, definitely. You too. Enjoy it.  You know what, just come here.",
1,2,Diversity Day,40,Michael,"Hey, uh, can I help you out in here?",
1,2,Diversity Day,40,Mr. Brown,"Oh, I'm all set, thanks.",
1,2,Diversity Day,40,Michael,Gotcha. Good. I'd go with the rows. That's a good idea.,
1,2,Diversity Day,41,Michael,"Today is diversity day and someone's going to come in and talk to us about diversity. It's something that I've been pushing, that I've been wanting to push, for a long time and Corporate mandated it. And I never actually talked to Corporate about it. They kind of beat me to the punch, the bastards. But I was going to. And I think it's very important that we have this. I'm very, very excited.",
1,2,Diversity Day,42,Jim,"That's the thing. It's very sturdy paper and on the back it says, ""100% post-consumer content."" What? Hello? Uh-huh. Wait. What? I'm sorry, Mr. Decker. I think I'm losing you.  Hello? Hello? Yeah. Hold on one second. I don't know. Hold on one second.",
1,2,Diversity Day,42,Jim,Do you really have to do that right now?,
1,2,Diversity Day,42,Dwight,Yes I do. I should have done it weeks ago actually.,
1,2,Diversity Day,42,Jim,"Mr. Decker, I'm sorry about that. What were you... Can you hold on one second? Yeah, just one second. Thanks.  Hello? That's it. Perfect. So what I was saying...  Hello? Thanks, Dwight.",
1,2,Diversity Day,42,Dwight,Retaliation. Tit for tit.,
1,2,Diversity Day,42,Jim,That is not the expression.,
1,2,Diversity Day,42,Dwight,"Well, it should be.",
1,2,Diversity Day,43,Jim,"This is my biggest sale of the year. They love me over there for some reason. I'm not really sure why but I make one call over there every year, just to renew their account, and that one call ends up being 25% of my commission for the whole year, so I buy a mini bottle of champagne, celebrate a little. And this year I'm pushing recycled paper on them for one percent more. I know. I'm getting cocky. Right?",
1,2,Diversity Day,44,Jim,Solitaire?,
1,2,Diversity Day,44,Pam,"Yeah, Freecell.",
1,2,Diversity Day,44,Jim,Six on seven.,
1,2,Diversity Day,44,Pam,I know. I saw that.,
1,2,Diversity Day,44,Jim,"So then, why didn't you do it?",
1,2,Diversity Day,44,Pam,I'm saving that 'cause I like it when the cards go T-ts-ts-tch-tch-tch.,
1,2,Diversity Day,44,Jim,Who doesn't love that?,
1,2,Diversity Day,45,Michael,"Hey, Oscar! How are you doing, man?",
1,2,Diversity Day,45,Oscar,All right.,
1,2,Diversity Day,45,Michael,Did you have a good weekend going there?,
1,2,Diversity Day,45,Oscar,It was fine.,
1,2,Diversity Day,45,Michael,"Oh yeah, I bet it was fun.  Oh, hey! This is Oscar---",
1,2,Diversity Day,45,Oscar,Martinez.,
1,2,Diversity Day,45,Michael,"Right. See? I don't even know, first-name basis!",
1,2,Diversity Day,45,Mr. Brown,Great. We're all set.,
1,2,Diversity Day,45,Michael,"Oh hey, well, diversity, everybody, let's do it. Oscar works in... here. Jim, could you wrap it up, please?",
1,2,Diversity Day,45,Jim,"Yeah, uh, Mr. Decker, please.",
1,2,Diversity Day,45,Michael,"It's diversity day, Jim. I wish every day was diversity day.",
1,2,Diversity Day,45,Jim,You know what? I'm actually going to have to call you back. Thank you. Sorry about that.,
1,2,Diversity Day,46,Mr. Brown,Thank you. Thank you. Thank you. Great.,
1,2,Diversity Day,46,Michael,"Come on people, let's get 'em in. Get in the cards! Get in the cards!",
1,2,Diversity Day,46,Mr. Brown,"Thank you. Thank you very much. OK. Thanks for filling these out and I promise this'll be quick. At Diversity Today, our philosophy is about honesty and positive expectations. We believe that 99% of the problems in the workplace arise simply out of ignorance.",
1,2,Diversity Day,46,Michael,"You know what? This is a color-free-zone here. Stanley, I don't look at you as another race.",
1,2,Diversity Day,46,Mr. Brown,"Uh, see this is what I'm talking about. We don't have to pretend we're color-blind.",
1,2,Diversity Day,46,Michael,"Exactly, were not...",
1,2,Diversity Day,46,Mr. Brown,That's fighting ignorance with more ignorance.,
1,2,Diversity Day,46,Michael,With tolerance.,
1,2,Diversity Day,46,Mr. Brown,No. With more ignorance.,
1,2,Diversity Day,46,Michael,Ignorance.,
1,2,Diversity Day,46,Mr. Brown,"Right. Exactly. Uh, instead, we need to celebrate our diversity.",
1,2,Diversity Day,46,Michael,Let's celebrate.,
1,2,Diversity Day,46,Mr. Brown,Right. OK.,
1,2,Diversity Day,46,Michael,Celebrate good times. Come on! Let's celebrate diversity. Right?,
1,2,Diversity Day,46,Mr. Brown,"Yes, exactly. Now here's what we're going to do. I've noticed that...",
1,2,Diversity Day,46,Michael,You know what? Here's what we're going to do. Why don't we go around and everybody... everybody say a race that you are attracted to sexually. I will go last. Go.,
1,2,Diversity Day,46,Dwight,I have two. White and Indian.,
1,2,Diversity Day,46,Mr. Brown,"Actually, I'd prefer not to start that way. Michael, I would love to have your permission to run this session. Can I have your permission?",
1,2,Diversity Day,46,Michael,Yes.,
1,2,Diversity Day,46,Mr. Brown,Thank you very much. And it would also help me if you were seated.,
1,2,Diversity Day,46,Michael,OK.,
1,2,Diversity Day,46,Mr. Brown,"Thank you. OK. Now, at the start of the session, I had you all write down an incident that you found offensive in the workplace. Now, what I'm going to do is choose one and we're going to act it out.",
1,2,Diversity Day,46,Dwight,A few of the ground rules?,
1,2,Diversity Day,46,Michael,"Hey, hey why don't you run it by me and I'll run it by him.",
1,2,Diversity Day,46,Dwight,"OK, can we steer away from gay people?",
1,2,Diversity Day,46,Mr. Brown,Um...,
1,2,Diversity Day,46,Dwight,"I'm sorry. It's an orientation. It's not a race. Plus a lot of other races are intolerant of gays, so...paradox.",
1,2,Diversity Day,46,Mr. Brown,"Well, we only have an hour.",
1,2,Diversity Day,46,Dwight,I figured it would save time.,
1,2,Diversity Day,46,Michael,OK. Why don't we just defer to Mr...,
1,2,Diversity Day,46,Mr. Brown,Mr. Brown.,
1,2,Diversity Day,46,Michael,"Ah. Oh, right! OK. First test. I will not call you that.",
1,2,Diversity Day,46,Mr. Brown,"Well, it's my name. It's not a test. OK? Um, so looking through the cards, I've noticed that many of you wrote down the same incident, which is ironic, because it's the exact incident I was brought in here to respond to. Now, how many of you are familiar with the Chris Rock routine? Very good. OK.",
1,2,Diversity Day,47,Michael,"How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because I'm white and Chris is black?",
1,2,Diversity Day,48,Mr. Brown,So we're going to reenact this with a more positive outcome.,
1,2,Diversity Day,48,Michael,I will play the Chris Rock guy. I would like to see someone else pull this off.,
1,2,Diversity Day,48,Mr. Brown,"Well, let's have someone who wasn't involved in the reenactment.",
1,2,Diversity Day,48,Michael,"OK, I will play guy listening.",
1,2,Diversity Day,48,Mr. Brown,"Great. Guy listening. Ok, anyone else remember?",
1,2,Diversity Day,48,Kevin,I remember.,
1,2,Diversity Day,48,Mr. Brown,Great. You're the Chris Rock guy and you're guy listening.,
1,2,Diversity Day,48,Michael,OK.,
1,2,Diversity Day,49,Michael,Kevin is a great guy. He's a great accountant. He is not much of an entertainer.,
1,2,Diversity Day,50,Kevin,"Basically, there are two types of black people and black people are actually more racist because they hate the other type of black people. Every time the one type wants to have a good time, then the other type comes in and makes a real mess.",
1,2,Diversity Day,50,Michael,"OK. I'm sorry. I'm sorry. He's ruin... He's butchering it. Could you just let me...  Every time... Every time black people want to have a good time, some ignant ass...  I take care of my kid!",
1,2,Diversity Day,50,Mr. Brown,Wait a second.,
1,2,Diversity Day,50,Michael, They always want credit for something they supPOSED to do!,
1,2,Diversity Day,50,Mr. Brown,Stop it!,
1,2,Diversity Day,50,Michael, What you want a cookie?,
1,2,Diversity Day,51,Mr. Brown,"Now, this is a simple acronym. HERO. Uh, at Diversity Today, we believe it is very easy to be a HERO. All you need are honesty, empathy, respect and open-mindedness.",
1,2,Diversity Day,51,Dwight,"Excuse me, I'm sorry, but that's not all it takes to be a hero.",
1,2,Diversity Day,51,Mr. Brown,"Oh, great. Well, what is a hero to you?",
1,2,Diversity Day,51,Dwight,"A hero kills people, people that wish him harm.",
1,2,Diversity Day,51,Mr. Brown,OK.,
1,2,Diversity Day,51,Dwight,"A hero is part-human and part-supernatural. A hero is born out of a childhood trauma, or out of a disaster that must be avenged.",
1,2,Diversity Day,51,Mr. Brown,"Ok, you're thinking of a superhero.",
1,2,Diversity Day,51,Dwight,We all have a hero in our heart.,
1,2,Diversity Day,51,Mr. Brown,"Now, I need you to take these forms. This kind of expresses the joint experience we had today. And I need you to look 'em over and sign them as kind of a group pledge.",
1,2,Diversity Day,51,Michael, I don't think I can sign this.,
1,2,Diversity Day,51,Mr. Brown,I can't leave until you do.,
1,2,Diversity Day,51,Michael,"Well, OK, it says here that I learned something and I knew all this stuff already, so... I know, I could sign something that says that I taught something, or that I helped you teach something, so... Pam! Where is she? Pam, could we change something on this?",
1,2,Diversity Day,51,Mr. Brown,"Michael, can I talk to you candidly?",
1,2,Diversity Day,51,Michael,Sure.,
1,2,Diversity Day,52,Mr. Brown,We both know that I'm here because of the comments you made.,
1,2,Diversity Day,52,Michael,"Here's the thing. This office, I think this is very advanced in terms of... racial awareness and it's probably more advanced than you're used to. That's probably throwing you off a little bit.",
1,2,Diversity Day,52,Mr. Brown,"Um, it's not throwing me. I need your signature.",
1,2,Diversity Day,52,Michael,"OK, well I know. You told me that several times.",
